Load	Stroke	Strain	Time
178.000000	0.026200	4.094000	0.193800
179.000000	0.026200	4.094000	0.195483
181.000000	0.026700	4.094000	0.196617
183.000000	0.026900	4.094000	0.198333
187.000000	0.027200	4.094000	0.199467
185.000000	0.027400	4.094000	0.200617
181.000000	0.027700	4.094000	0.201800
184.000000	0.027900	4.094000	0.203483
188.000000	0.028200	4.094000	0.204617
189.000000	0.028400	4.094000	0.206333
185.000000	0.028700	4.094000	0.207467
189.000000	0.029000	4.094000	0.208617
188.000000	0.029200	4.094000	0.209783
186.000000	0.029500	4.094000	0.210933
189.000000	0.029700	4.094000	0.212067
189.000000	0.030000	4.094000	0.213217
194.000000	0.030200	4.094000	0.214367
191.000000	0.030500	4.094000	0.216067
203.000000	0.030700	4.094000	0.217217
193.000000	0.031000	4.094000	0.218900
195.000000	0.031200	4.094000	0.220600
195.000000	0.031800	4.094000	0.221750
195.000000	0.031800	4.094000	0.222900
197.000000	0.032300	4.094000	0.224067
196.000000	0.032300	4.094000	0.225217
201.000000	0.032500	4.094000	0.226367
196.000000	0.032800	4.094000	0.227550
197.000000	0.033000	4.094000	0.229317
203.000000	0.033500	4.094000	0.230467
207.000000	0.033800	4.094000	0.231650
207.000000	0.033800	4.094000	0.232783
203.000000	0.034000	4.094000	0.233933
204.000000	0.034300	4.094000	0.235100
204.000000	0.034500	4.094000	0.236250
205.000000	0.034800	4.094000	0.237967
208.000000	0.035300	4.094000	0.239133
208.000000	0.035300	4.094000	0.240817
211.000000	0.035800	4.094000	0.241967
206.000000	0.035800	4.094000	0.243683
211.000000	0.036300	4.094000	0.244833
209.000000	0.036600	4.094000	0.245983
213.000000	0.036800	4.094000	0.247150
210.000000	0.037100	4.094000	0.248300
219.000000	0.037100	4.094000	0.249450
211.000000	0.037600	4.094000	0.250617
213.000000	0.037600	4.094000	0.251767
217.000000	0.037800	4.094000	0.252917
215.000000	0.038100	4.094000	0.254650
218.000000	0.038600	4.094000	0.255800
219.000000	0.038400	4.094000	0.256950
216.000000	0.038900	4.094000	0.258117
217.000000	0.039400	4.094000	0.259267
219.000000	0.039400	4.094000	0.260400
218.000000	0.039600	4.094000	0.261567
221.000000	0.039900	4.094000	0.262717
222.000000	0.040100	4.094000	0.264433
221.000000	0.040400	4.094000	0.266150
221.000000	0.040900	4.094000	0.267300
222.000000	0.041100	4.094000	0.268450
224.000000	0.041100	4.094000	0.269633
226.000000	0.041700	4.094000	0.271567
226.000000	0.041900	4.094000	0.272717
227.000000	0.042200	4.094000	0.273883
228.000000	0.042200	4.094000	0.275133
226.000000	0.042700	4.094000	0.276283
228.000000	0.042700	4.094000	0.277450
229.000000	0.042900	4.094000	0.278600
230.000000	0.043400	4.094000	0.279767
229.000000	0.043700	4.094000	0.280933
233.000000	0.043700	4.094000	0.282083
231.000000	0.043900	4.094000	0.283233
233.000000	0.044200	4.094000	0.284383
235.000000	0.044500	4.094000	0.285533
234.000000	0.044700	4.094000	0.286700
236.000000	0.045000	4.094000	0.288417
231.000000	0.045200	4.094000	0.290100
234.000000	0.045700	4.094000	0.291233
233.000000	0.045700	4.094000	0.292400
234.000000	0.046000	4.094000	0.293550
238.000000	0.046200	4.094000	0.294683
237.000000	0.046500	4.094000	0.295983
239.000000	0.046700	4.094000	0.297117
239.000000	0.047000	4.094000	0.298267
243.000000	0.047200	4.094000	0.299433
240.000000	0.047500	4.094000	0.301117
241.000000	0.047800	4.094000	0.302267
242.000000	0.048000	4.094000	0.303417
240.000000	0.048300	4.094000	0.305133
245.000000	0.048500	4.094000	0.306283
241.000000	0.048800	4.094000	0.307450
246.000000	0.049000	4.094000	0.308600
243.000000	0.049300	4.094000	0.309767
242.000000	0.049500	4.094000	0.310917
244.000000	0.049800	4.094000	0.312050
242.000000	0.050000	4.094000	0.313183
249.000000	0.050300	4.094000	0.314900
248.000000	0.050500	4.094000	0.316033
248.000000	0.050800	4.094000	0.317183
250.000000	0.051100	4.094000	0.318350
249.000000	0.051300	4.094000	0.319517
249.000000	0.051600	4.094000	0.320683
250.000000	0.051800	4.094000	0.323283
255.000000	0.052100	4.094000	0.324433
251.000000	0.052300	4.094000	0.325583
252.000000	0.052600	4.094000	0.326750
255.000000	0.052800	4.094000	0.327883
251.000000	0.053100	4.094000	0.329050
254.000000	0.053300	4.094000	0.330217
256.000000	0.053600	4.094000	0.331350
256.000000	0.053800	4.094000	0.332500
255.000000	0.054100	4.094000	0.333667
258.000000	0.054400	4.094000	0.334800
255.000000	0.054400	4.094000	0.335950
259.000000	0.054900	4.094000	0.337100
257.000000	0.055400	4.094000	0.338267
261.000000	0.054900	4.094000	0.340500
261.000000	0.055400	4.094000	0.342183
262.000000	0.055900	4.094000	0.343333
266.000000	0.056100	4.094000	0.344483
260.000000	0.056600	4.094000	0.345617
263.000000	0.056400	4.094000	0.346767
267.000000	0.056900	4.094000	0.347933
265.000000	0.057200	4.094000	0.349083
267.000000	0.057400	4.094000	0.350250
267.000000	0.057700	4.094000	0.351400
268.000000	0.057900	4.094000	0.352533
269.000000	0.057900	4.094000	0.353667
265.000000	0.058200	4.094000	0.354817
269.000000	0.058400	4.094000	0.355950
265.000000	0.058700	4.094000	0.358550
268.000000	0.059200	4.094000	0.359683
271.000000	0.059400	4.094000	0.360833
272.000000	0.059700	4.094000	0.361983
271.000000	0.059900	4.094000	0.363117
272.000000	0.060200	4.094000	0.364267
272.000000	0.060500	4.094000	0.365967
272.000000	0.060700	4.094000	0.367100
276.000000	0.061000	4.094000	0.368250
274.000000	0.061200	4.094000	0.369400
276.000000	0.061500	4.094000	0.370533
271.000000	0.061700	4.094000	0.371683
275.000000	0.062000	4.094000	0.372850
270.000000	0.062000	4.094000	0.374550
273.000000	0.062500	4.094000	0.375683
278.000000	0.062700	4.094000	0.376850
278.000000	0.062700	4.094000	0.378000
279.000000	0.063200	4.094000	0.379300
277.000000	0.063500	4.094000	0.380450
282.000000	0.063800	4.094000	0.381583
282.000000	0.064000	4.094000	0.383450
276.000000	0.064300	4.094000	0.384600
279.000000	0.064500	4.094000	0.385750
283.000000	0.064800	4.094000	0.386883
283.000000	0.065000	4.094000	0.388033
281.000000	0.065300	4.094000	0.389167
285.000000	0.065300	4.094000	0.392317
283.000000	0.065800	4.094000	0.393450
289.000000	0.066300	4.094000	0.394583
285.000000	0.066300	4.094000	0.395733
286.000000	0.066800	4.094000	0.396867
288.000000	0.067100	4.094000	0.398000
287.000000	0.067300	4.094000	0.399150
287.000000	0.067300	4.094000	0.400283
290.000000	0.067600	4.094000	0.401417
282.000000	0.067800	4.094000	0.402567
288.000000	0.068100	4.094000	0.403700
283.000000	0.068300	4.094000	0.404850
289.000000	0.068600	4.094000	0.406000
